h;r;d;p;;;;
16;1;22;0.0096;23.4425;0.0077;23.4425;0
16;1;16;0.0179;23.0239;0.0159;23.0239;0
16;1;12;0.0333;22.6052;0.0288;22.6052;0
16;1;10;0.0444;22.6052;0.0399;22.6052;0
16;1;8;0.0714;22.1866;0.0672;22.1866;0
16;1;6;0.1333;20.5122;0.1155;20.5122;0
16;1;4;0.3333;15.9074;0.3063;16.326;0.4186
16;3;54;0.0126;21.3494;0.0125;21.3494;0
16;3;44;0.0191;21.3494;0.0107;21.3494;0
16;3;34;0.0325;21.3494;0.0284;21.3494;0
16;3;28;0.0476;20.9308;0.0352;20.9308;0
16;3;18;0.1111;20.0936;0.1108;20.0936;0
16;3;14;0.1905;18.8377;0.1704;18.8377;0
16;3;10;0.3556;15.0702;0.3106;15.4888;0.4186
16;3;8;0.5714;10.0468;0.5344;10.884;0.8372
16;5;86;0.0126;20.0936;0.0059;20.0936;0
16;5;76;0.0159;19.6749;0.0085;19.6749;0
16;5;66;0.0213;19.6749;0.016;19.6749;0
16;5;58;0.0276;19.6749;0.032;19.6749;0
16;5;46;0.0435;19.6749;0.0266;19.6749;0
16;5;38;0.0638;19.2563;0.0357;19.2563;0
16;5;28;0.119;18.8377;0.0825;18.8377;0
16;5;20;0.2353;17.1632;0.1693;17.1632;0
16;5;14;0.4762;12.1399;0.4095;12.5585;0.4186
16;10;126;0.023;16.326;0.0282;16.326;0
16;10;108;0.0311;16.326;0.0243;16.326;0
16;10;94;0.0415;16.326;0.0217;16.326;0
16;10;70;0.074;16.7446;0.0534;16.326;-0.4186
16;10;50;0.147;16.326;0.0941;15.9074;-0.4186
16;10;40;0.2257;15.4888;0.1233;15.0702;-0.4186
16;10;34;0.3205;14.6515;0.222;14.2329;-0.4186
16;10;30;0.4051;13.3957;0.286;12.9771;-0.4186
16;10;26;0.5284;10.884;0.2718;11.3026;0.4186
16;10;22;0.756;5.8606;0.5078;7.1165;1.2558
16;20;126;0.092;12.9771;0.0819;12.5585;-0.4186
16;20;110;0.121;12.9771;0.0714;12.5585;-0.4186
16;20;98;0.1517;12.5585;0.065;12.1399;-0.4186
16;20;86;0.1986;12.5585;0.0591;12.1399;-0.4186
16;20;72;0.2832;13.3957;0.1556;12.1399;-1.2558
16;20;62;0.3775;12.5585;0.3727;11.3026;-1.2558
16;20;54;0.498;10.884;0.3193;10.0468;-0.8372
16;20;48;0.627;7.9537;0.2879;8.7909;0.8372
16;20;42;0.836;4.1862;0.409;5.442;1.2558
16;30;126;0.2059;11.3026;0.1495;10.4654;-0.8372
16;30;110;0.2706;11.7212;0.1292;10.4654;-1.2558
16;30;98;0.3395;10.884;0.1171;10.0468;-0.8372
16;30;86;0.4444;10.0468;0.106;9.6282;-0.4186
16;30;72;0.6335;7.5351;0.3022;7.9537;0.4186
16;30;62;0.8447;3.7675;0.886;5.0234;1.2558
16;40;126;0.3658;10.4654;0.2389;9.2095;-1.2558
16;40;122;0.3885;10.0468;0.2301;8.7909;-1.2558
16;40;118;0.4174;10.0468;0.2201;8.7909;-1.2558
16;40;108;0.4949;9.6282;0.2009;8.3723;-1.2558
16;40;100;0.5775;7.9537;0.1867;7.9537;0
16;40;94;0.6598;6.6979;0.1762;7.1165;0.4186
16;40;88;0.7512;5.8606;0.1676;6.2792;0.4186
16;40;82;0.8629;3.7675;0.2537;4.6048;0.8372
16;50;126;0.5723;8.3723;0.3683;7.5351;-0.8372
16;50;122;0.6078;8.3723;0.3528;7.5351;-0.8372
16;50;116;0.6776;7.1165;0.327;6.6979;-0.4186
16;50;110;0.7522;5.0234;0.3068;5.8606;0.8372
16;50;102;0.8757;2.9303;0.2823;4.1862;1.2558
16;60;126;0.8231;4.6048;0.5774;5.0234;0.4186
16;60;124;0.852;3.7675;0.5588;4.6048;0.8372
16;60;122;0.8741;3.3489;0.5475;4.1862;0.8372
64;1;22;0.0096;23.8611;0.0347;23.8611;0
64;1;16;0.0179;23.4425;0.0701;23.4425;0
64;1;12;0.0333;23.4425;0.1259;23.4425;0
64;1;10;0.0444;23.0239;0.1739;23.0239;0
64;1;8;0.0714;22.1866;0.2921;22.6052;0.4186
64;1;6;0.1333;20.9308;0.5017;21.768;0.8372
64;1;4;0.3333;16.326;1.3283;18.0005;1.6745
64;3;54;0.0126;23.4425;0.0555;23.4425;0
64;3;44;0.0191;23.4425;0.0475;23.4425;0
64;3;34;0.0325;23.0239;0.1241;23.0239;0
64;3;28;0.0476;23.0239;0.1535;23.0239;0
64;3;18;0.1111;21.3494;0.4814;21.768;0.4186
64;3;14;0.1905;19.6749;0.7397;20.5122;0.8372
64;3;10;0.3556;15.9074;1.347;17.5819;1.6745
64;3;8;0.5714;10.4654;2.3169;13.3957;2.9303
64;5;86;0.0126;23.0239;0.0269;23.0239;0
64;5;76;0.0159;23.0239;0.0381;23.0239;0
64;5;66;0.0213;23.0239;0.0704;23.0239;0
64;5;58;0.0276;23.0239;0.1397;23.0239;0
64;5;46;0.0435;23.0239;0.1165;23.0239;0
64;5;38;0.0638;22.6052;0.156;22.6052;0
64;5;28;0.119;21.3494;0.3586;21.768;0.4186
64;5;20;0.2353;18.8377;0.7345;19.6749;0.8372
64;5;14;0.4762;12.9771;1.7754;15.4888;2.5117
64;10;126;0.023;22.1866;0.1223;22.1866;0
64;10;108;0.0311;21.768;0.1058;21.768;0
64;10;94;0.0415;21.768;0.0945;21.768;0
64;10;70;0.074;21.3494;0.2302;21.3494;0
64;10;50;0.147;20.9308;0.4059;20.9308;0
