altura,radio,densidad,densidad_volumetrica,distancia,vs,delta_mic,delta_bulk,amp_mic,amp_bulk,densidad_nominal,Niter
10.0,2.0,0.1032,0.1201,12.0,0.25,16.744626217033726,-0.8372313108516862,4810820359.2174835,303607997532.77216,0.1,0
10.0,2.0,0.1032,0.1205,12.0,0.25,15.488779250756195,-0.8372313108516862,4825990876.572608,303607548666.0697,0.1,1
10.0,2.0,0.1032,0.1194,12.0,0.25,15.90739490618204,-0.8372313108516862,4782179843.500265,303608063257.5529,0.1,2
10.0,2.0,0.1032,0.117,12.0,0.25,15.90739490618204,-0.8372313108516862,4687892314.008324,303607553489.1201,0.1,3
10.0,2.0,0.1032,0.1232,12.0,0.25,15.488779250756195,-0.8372313108516862,4933910205.097931,303606357612.4917,0.1,4
10.0,2.0,0.1032,0.1212,12.0,0.25,16.32601056160788,-0.8372313108516862,4856784778.161073,303605939596.11365,0.1,5
10.0,2.0,0.1032,0.1234,12.0,0.25,15.070163595330353,-0.8372313108516862,4942670883.836211,303604676340.76465,0.1,6
10.0,2.0,0.1032,0.1198,12.0,0.25,15.070163595330353,-0.8372313108516862,4799534754.757291,303607665088.4176,0.1,7
10.0,2.0,0.1032,0.1222,12.0,0.25,15.90739490618204,-0.8372313108516862,4895763699.299233,303605576903.8654,0.1,8
10.0,2.0,0.1032,0.1294,12.0,0.25,15.90739490618204,-0.8372313108516862,5185435315.433966,303608071222.90106,0.1,9
10.0,2.0,0.1032,0.1227,12.0,0.25,15.90739490618204,-0.8372313108516862,4914498576.560704,303606548750.4508,0.1,10
10.0,2.0,0.1032,0.1215,12.0,0.25,15.90739490618204,-0.8372313108516862,4866877387.580116,303606358025.68604,0.1,11
10.0,2.0,0.1032,0.1258,12.0,0.25,15.90739490618204,-0.8372313108516862,5041328014.105697,303607550032.28766,0.1,12
10.0,2.0,0.1032,0.1201,12.0,0.25,15.488779250756195,-0.8372313108516862,4812939157.530761,303606435098.9592,0.1,13
10.0,2.0,0.1032,0.1205,12.0,0.25,15.90739490618204,-0.8372313108516862,4827454369.04692,303607731579.00757,0.1,14
10.0,2.0,0.1032,0.1196,12.0,0.25,16.32601056160788,-0.8372313108516862,4790102936.532533,303607550377.4125,0.1,15
10.0,2.0,0.1032,0.1229,12.0,0.25,15.488779250756195,-0.8372313108516862,4923042603.543072,303605113248.5441,0.1,16
10.0,2.0,0.1032,0.1245,12.0,0.25,15.488779250756195,-0.8372313108516862,4988981424.303871,303606085627.50256,0.1,17
10.0,2.0,0.1032,0.1252,12.0,0.25,14.651547939904509,-0.8372313108516862,5016832416.662943,303608070127.053,0.1,18
10.0,2.0,0.1032,0.1172,12.0,0.25,15.90739490618204,-0.8372313108516862,4693841991.870677,303607640754.3947,0.1,19
10.0,2.0,0.211,0.2304,8.5,0.25,14.232932284478666,-0.8372313108516862,8428059158.942156,303314085177.05725,0.2,0
10.0,2.0,0.211,0.2281,8.5,0.25,14.232932284478666,-0.8372313108516862,8343605426.523172,303312062185.1427,0.2,1
10.0,2.0,0.211,0.2358,8.5,0.25,14.232932284478666,-0.8372313108516862,8625310471.561132,303311114639.2894,0.2,2
10.0,2.0,0.211,0.2338,8.5,0.25,14.651547939904509,-0.8372313108516862,8553666008.842476,303312906267.40326,0.2,3
10.0,2.0,0.211,0.222,8.5,0.25,14.651547939904509,-0.8372313108516862,8121883638.294726,303313083469.7586,0.2,4
10.0,2.0,0.211,0.2328,8.5,0.25,14.232932284478666,-0.8372313108516862,8516289489.549162,303309925538.1547,0.2,5
10.0,2.0,0.211,0.2313,8.5,0.25,13.814316629052822,-0.8372313108516862,8459429037.707072,303311123515.3874,0.2,6
10.0,2.0,0.211,0.2315,8.5,0.25,13.814316629052822,-0.8372313108516862,8466678355.612014,303314164312.4847,0.2,7
10.0,2.0,0.211,0.2297,8.5,0.25,13.814316629052822,-0.8372313108516862,8402234071.672102,303313269708.8577,0.2,8
10.0,2.0,0.211,0.2331,8.5,0.25,14.232932284478666,-0.8372313108516862,8527816853.916745,303311820986.8846,0.2,9
10.0,2.0,0.211,0.2246,8.5,0.25,14.232932284478666,-0.8372313108516862,8213919121.590117,303312166222.8447,0.2,10
10.0,2.0,0.211,0.2326,8.5,0.25,14.651547939904509,-0.8372313108516862,8506717630.420826,303311895194.47534,0.2,11
10.0,2.0,0.211,0.2291,8.5,0.25,14.651547939904509,-0.8372313108516862,8379925051.013178,303314081341.4675,0.2,12
10.0,2.0,0.211,0.2359,8.5,0.25,13.814316629052822,-0.8372313108516862,8628209870.024487,303312077818.9504,0.2,13
10.0,2.0,0.211,0.2336,8.5,0.25,14.232932284478666,-0.8372313108516862,8545383208.878946,303313739626.8111,0.2,14
10.0,2.0,0.211,0.2339,8.5,0.25,13.814316629052822,-0.8372313108516862,8555782148.741401,303315058327.0565,0.2,15
10.0,2.0,0.211,0.2303,8.5,0.25,14.232932284478666,-0.8372313108516862,8424658785.470748,303311900469.97253,0.2,16
10.0,2.0,0.211,0.2369,8.5,0.25,14.232932284478666,-0.8372313108516862,8664850900.526114,303313106366.4178,0.2,17
10.0,2.0,0.211,0.2272,8.5,0.25,14.232932284478666,-0.8372313108516862,8311329829.808551,303313970105.0399,0.2,18
10.0,2.0,0.211,0.2265,8.5,0.25,14.232932284478666,-0.8372313108516862,8286438987.003082,303311897504.56885,0.2,19
10.0,2.0,0.3095,0.3185,7.0,0.25,12.977085318201137,-0.4186156554258431,12761729419.37863,302924813851.9822,0.3,0
10.0,2.0,0.3095,0.3249,7.0,0.25,12.977085318201137,-0.4186156554258431,13015997659.465782,302922410226.9271,0.3,1
10.0,2.0,0.3095,0.3263,7.0,0.25,12.558469662775293,-0.4186156554258431,13073945802.834679,302925392104.889,0.3,2
10.0,2.0,0.3095,0.3281,7.0,0.25,12.977085318201137,-0.4186156554258431,13144173921.402834,302922481192.4669,0.3,3
10.0,2.0,0.3095,0.3214,7.0,0.25,12.977085318201137,-0.4186156554258431,12875473829.67549,302923948704.3343,0.3,4
10.0,2.0,0.3095,0.324,7.0,0.25,12.13985400734945,-0.4186156554258431,12981199078.902784,302925759166.0627,0.3,5
10.0,2.0,0.3095,0.3237,7.0,0.25,12.977085318201137,-0.4186156554258431,12971176242.2029,302923558577.5596,0.3,6
10.0,2.0,0.3095,0.3203,7.0,0.25,12.13985400734945,-0.4186156554258431,12833979370.912392,302924893088.8859,0.3,7
10.0,2.0,0.3095,0.3287,7.0,0.25,12.558469662775293,-0.4186156554258431,13170132567.33689,302921448422.01917,0.3,8
10.0,2.0,0.3095,0.3223,7.0,0.25,12.558469662775293,-0.4186156554258431,12914499775.522303,302927283950.7377,0.3,9
10.0,2.0,0.3095,0.3285,7.0,0.25,12.13985400734945,-0.4186156554258431,13163476360.31488,302926954315.0136,0.3,10
10.0,2.0,0.3095,0.3219,7.0,0.25,12.558469662775293,-0.4186156554258431,12898298772.131355,302924330029.60223,0.3,11
