altura,radio,densidad,densidad_volumetrica,vs,delta_mic,delta_bulk,amp_mic,amp_bulk,densidad_nominal,Niter
10.0,2.0,0.0989,0.0981,0.25,11.302622696497764,-0.8372313108516862,17042746782.798517,1214506682433.3247,0.1,0
10.0,2.0,0.1877,0.186,0.25,10.465391385646077,-0.8372313108516862,32298134320.36889,1213282952473.379,0.2,0
10.0,2.0,0.3031,0.3004,0.25,9.209544419368548,-0.4186156554258431,52173961450.20992,1211459259058.1926,0.3,0
10.0,2.0,0.4028,0.4032,0.25,7.5350817976651765,-0.4186156554258431,70018043728.22911,1209702097405.4346,0.4,0
10.0,2.0,0.5057,0.4984,0.25,6.69785048681349,-0.4186156554258431,86562370321.4303,1207693210570.011,0.5,0
10.0,2.0,0.5894,0.588,0.25,5.442003520535961,-0.4186156554258431,102127137579.31744,1205739419154.026,0.6,0
10.0,2.0,0.7122,0.7119,0.25,3.7675408988325882,0.0,123632530124.79094,1201859560953.6523,0.7,0
10.0,2.0,0.7995,0.7926,0.25,2.9303095879809016,0.0,137664914286.04053,1198226531225.6958,0.8,0
10.0,2.0,0.0985,0.0993,0.25,11.721238351923606,-0.8372313108516862,17248090592.21113,1214487607660.3203,0.1,1
10.0,2.0,0.1876,0.1863,0.25,10.465391385646077,-0.8372313108516862,32354222750.815765,1213242332856.6985,0.2,1
10.0,2.0,0.3064,0.305,0.25,8.790928763942706,-0.4186156554258431,52964242770.58911,1211385314216.832,0.3,1
10.0,2.0,0.4075,0.4078,0.25,7.5350817976651765,-0.4186156554258431,70816904362.35239,1209703434993.2314,0.4,1
10.0,2.0,0.5056,0.503,0.25,6.2792348313876465,-0.4186156554258431,87365542160.53532,1207770302976.1677,0.5,1
10.0,2.0,0.584,0.5861,0.25,5.442003520535961,-0.4186156554258431,101796077970.58406,1205835058090.03,0.6,1
10.0,2.0,0.7066,0.7063,0.25,3.7675408988325882,0.0,122666207526.6763,1201767975772.1345,0.7,1
10.0,2.0,0.7888,0.7912,0.25,2.9303095879809016,0.0,137411457646.25131,1198476441333.436,0.8,1
10.0,2.0,0.0946,0.0979,0.25,11.721238351923606,-0.8372313108516862,17005034117.884684,1214509519318.1863,0.1,2
10.0,2.0,0.1836,0.1863,0.25,10.884007041071921,-0.8372313108516862,32359479561.715782,1213300575822.7324,0.2,2
10.0,2.0,0.2977,0.3059,0.25,8.790928763942706,-0.4186156554258431,53129369078.81357,1211605439953.388,0.3,2
10.0,2.0,0.4018,0.4048,0.25,7.5350817976651765,-0.4186156554258431,70294387436.27791,1209735153611.7358,0.4,2
10.0,2.0,0.5045,0.5018,0.25,6.2792348313876465,-0.4186156554258431,87142999618.68863,1207775020140.8462,0.5,2
10.0,2.0,0.5908,0.5848,0.25,5.442003520535961,-0.4186156554258431,101572299746.97867,1205963729431.3691,0.6,2
10.0,2.0,0.7092,0.7113,0.25,3.7675408988325882,-0.4186156554258431,123540861214.1726,1201972365455.6406,0.7,2
10.0,2.0,0.7831,0.7885,0.25,2.9303095879809016,0.0,136939022952.51776,1198400850920.0564,0.8,2
10.0,2.0,0.0986,0.098,0.25,11.721238351923606,-0.8372313108516862,17027441108.096935,1214440870047.6035,0.1,3
10.0,2.0,0.1898,0.187,0.25,10.046775730220235,-0.8372313108516862,32476447716.824165,1213275884443.1262,0.2,3
10.0,2.0,0.3036,0.3052,0.25,8.790928763942706,-0.4186156554258431,52995482283.58955,1211504108007.6694,0.3,3
10.0,2.0,0.403,0.4074,0.25,7.5350817976651765,-0.4186156554258431,70762105715.95985,1209722026429.1306,0.4,3
10.0,2.0,0.5048,0.4973,0.25,6.2792348313876465,-0.4186156554258431,86365786649.17987,1207726938266.6704,0.5,3
10.0,2.0,0.5819,0.585,0.25,5.442003520535961,-0.4186156554258431,101596922675.20071,1205703836632.968,0.6,3
10.0,2.0,0.7091,0.7066,0.25,3.7675408988325882,0.0,122726624821.78038,1201881363725.8108,0.7,3
10.0,2.0,0.7861,0.7897,0.25,2.9303095879809016,0.0,137147007250.013,1198540991497.5923,0.8,3
10.0,2.0,0.0995,0.0987,0.25,11.302622696497764,-0.8372313108516862,17134161314.72541,1214498239662.8403,0.1,4
10.0,2.0,0.1903,0.189,0.25,10.465391385646077,-0.8372313108516862,32829983154.250114,1213232096531.8638,0.2,4
10.0,2.0,0.3056,0.3059,0.25,8.790928763942706,-0.4186156554258431,53132571666.97278,1211482099378.778,0.3,4
10.0,2.0,0.4047,0.4035,0.25,7.5350817976651765,-0.4186156554258431,70082979188.92596,1209663331735.1716,0.4,4
10.0,2.0,0.5009,0.4953,0.25,6.69785048681349,-0.4186156554258431,86015423214.02008,1207825447094.8203,0.5,4
10.0,2.0,0.5823,0.5897,0.25,5.442003520535961,-0.4186156554258431,102422226862.07912,1205785955579.1216,0.6,4
10.0,2.0,0.7092,0.7159,0.25,3.7675408988325882,0.0,124333034698.22101,1201853472370.1858,0.7,4
